Year	Tree Name	Tree location	Tree Ring Widths (mm)	"Temperature (ºC, Growing Season: May, June, July, Aug)"	"Precipitation (mm, Growing Season: May, June, July, Aug)"
1968	tfis14	burned upland	1.22	14.33	53.42
1967	tfis14	burned upland	1.30	13.54	146.45
1966	tfis14	burned upland	1.40	13.93	27.61
1965	tfis14	burned upland	1.42	11.51	81.03
1964	tfis14	burned upland	1.38	12.07	87.74
1963	tfis14	burned upland	1.30	12.40	93.68
1962	tfis14	burned upland	1.22	13.47	162.84
1961	tfis14	burned upland	1.18	13.13	106.71
1960	tfis14	burned upland	1.20	13.64	92.00
1959	tfis14	burned upland	1.26	12.58	99.87
1958	tfis14	burned upland	1.24	14.14	52.52
1957	tfis14	burned upland	1.21	14.47	20.00
1956	tfis14	burned upland	1.18	13.18	92.90
1955	tfis14	burned upland	1.15	12.19	142.97
1954	tfis14	burned upland	1.11	13.28	101.03
1953	tfis14	burned upland	1.17	14.35	105.16
1952	tfis14	burned upland	1.32	11.93	80.00
1951	tfis14	burned upland	1.30	13.38	78.84
1950	tfis14	burned upland	1.46	13.60	69.16
1949	tfis14	burned upland	1.60	11.51	113.81
1948	tfis14	burned upland	1.73	11.81	148.52
1947	tfis14	burned upland	1.87	12.43	68.26
1946	tfis14	burned upland	2.03	13.29	86.71
1945	tfis14	burned upland	1.98	11.22	141.16
1944	tfis14	burned upland	1.95	12.90	97.81
1943	tfis14	burned upland	1.81	12.56	72.26
1942	tfis14	burned upland	1.55	14.31	144.77
1941	tfis14	burned upland	1.34	13.65	76.90
1940	tfis14	burned upland	1.11	14.03	95.10
1939	tfis14	burned upland	0.83	12.82	101.29
1938	tfis14	burned upland	0.59	12.61	84.13
1937	tfis14	burned upland	0.45	12.44	85.29
1936	tfis14	burned upland	0.43	14.08	69.55
1935	tfis14	burned upland	0.39	11.36	91.74
1934	tfis14	burned upland	0.36	12.14	88.90
1933	tfis14	burned upland	0.35	11.68	81.94
1932	tfis14	burned upland	0.40	11.68	114.84
1931	tfis14	burned upland	0.31	11.22	104.90
1930	tfis14	burned upland	0.36	12.79	174.97
1929	tfis14	burned upland	0.52	12.85	111.48
1928	tfis14	burned upland	0.64	12.72	64.13
1927	tfis14	burned upland	0.64	13.51	50.71
1926	tfis14	burned upland	0.67	14.08	99.10
1925	tfis14	burned upland	0.62	13.00	115.23
1924	tfis14	burned upland	0.53	12.46	101.55
1923	tfis14	burned upland	0.46	14.18	72.65
1922	tfis14	burned upland	0.44	10.40	113.68
1921	tfis14	burned upland	0.32	13.56	66.06
2000	tfis15	burned upland	0.15	12.36	93.81
1999	tfis15	burned upland	0.14	14.05	95.48
1998	tfis15	burned upland	0.13	13.40	122.06
1997	tfis15	burned upland	0.13	14.96	56.26
1996	tfis15	burned upland	0.15	13.53	85.94
1995	tfis15	burned upland	0.15	14.81	95.35
1994	tfis15	burned upland	0.14	14.76	73.94
1993	tfis15	burned upland	0.15	15.19	82.97
1992	tfis15	burned upland	0.16	13.11	98.45
1991	tfis15	burned upland	0.16	14.17	46.58
1990	tfis15	burned upland	0.17	15.83	159.23
1989	tfis15	burned upland	0.19	14.67	76.52
1988	tfis15	burned upland	0.19	15.54	96.39
1987	tfis15	burned upland	0.19	14.85	52.39
1986	tfis15	burned upland	0.19	13.99	84.39
1985	tfis15	burned upland	0.18	13.35	100.77
1984	tfis15	burned upland	0.17	13.22	77.03
1983	tfis15	burned upland	0.19	14.21	86.06
1982	tfis15	burned upland	0.21	13.47	99.23
1981	tfis15	burned upland	0.24	12.82	92.90
1980	tfis15	burned upland	0.26	13.01	70.97
1979	tfis15	burned upland	0.29	14.01	82.19
1978	tfis15	burned upland	0.30	13.85	71.74
1977	tfis15	burned upland	0.30	14.68	117.94
1976	tfis15	burned upland	0.29	13.92	69.16
1975	tfis15	burned upland	0.30	15.74	72.13
1974	tfis15	burned upland	0.31	14.54	53.03
1973	tfis15	burned upland	0.32	13.88	80.77
1972	tfis15	burned upland	0.35	14.17	60.65
1971	tfis15	burned upland	0.39	13.85	94.45
1970	tfis15	burned upland	0.44	14.04	95.87
1969	tfis15	burned upland	0.46	13.26	64.39
1968	tfis15	burned upland	0.49	14.33	53.42
1967	tfis15	burned upland	0.49	13.54	146.45
1966	tfis15	burned upland	0.50	13.93	27.61
1965	tfis15	burned upland	0.50	11.51	81.03
1964	tfis15	burned upland	0.53	12.07	87.74
1963	tfis15	burned upland	0.59	12.40	93.68
1962	tfis15	burned upland	0.64	13.47	162.84
1961	tfis15	burned upland	0.68	13.13	106.71
1960	tfis15	burned upland	0.71	13.64	92.00
1959	tfis15	burned upland	0.73	12.58	99.87
1958	tfis15	burned upland	0.72	14.14	52.52
1957	tfis15	burned upland	0.73	14.47	20.00
1956	tfis15	burned upland	0.75	13.18	92.90
1955	tfis15	burned upland	0.81	12.19	142.97
1954	tfis15	burned upland	0.83	13.28	101.03
1953	tfis15	burned upland	0.90	14.35	105.16
1952	tfis15	burned upland	0.97	11.93	80.00
1951	tfis15	burned upland	1.08	13.38	78.84
1950	tfis15	burned upland	1.10	13.60	69.16
1949	tfis15	burned upland	1.14	11.51	113.81
1948	tfis15	burned upland	1.12	11.81	148.52
1947	tfis15	burned upland	1.08	12.43	68.26
1946	tfis15	burned upland	1.05	13.29	86.71
1945	tfis15	burned upland	1.06	11.22	141.16
1944	tfis15	burned upland	1.05	12.90	97.81
1943	tfis15	burned upland	1.08	12.56	72.26
1942	tfis15	burned upland	1.21	14.31	144.77
1941	tfis15	burned upland	1.22	13.65	76.90
1940	tfis15	burned upland	1.26	14.03	95.10
1939	tfis15	burned upland	1.47	12.82	101.29
1938	tfis15	burned upland	1.58	12.61	84.13
1937	tfis15	burned upland	1.58	12.44	85.29
1936	tfis15	burned upland	1.62	14.08	69.55
1935	tfis15	burned upland	1.68	11.36	91.74
1934	tfis15	burned upland	1.57	12.14	88.90
1933	tfis15	burned upland	1.52	11.68	81.94
1932	tfis15	burned upland	1.50	11.68	114.84
1931	tfis15	burned upland	1.52	11.22	104.90
1930	tfis15	burned upland	1.61	12.79	174.97
1929	tfis15	burned upland	1.65	12.85	111.48
1928	tfis15	burned upland	1.68	12.72	64.13
1927	tfis15	burned upland	1.67	13.51	50.71
1926	tfis15	burned upland	1.74	14.08	99.10
1925	tfis15	burned upland	1.78	13.00	115.23
1924	tfis15	burned upland	1.91	12.46	101.55
1923	tfis15	burned upland	2.02	14.18	72.65
1922	tfis15	burned upland	2.13	10.40	113.68
1921	tfis15	burned upland	2.10	13.56	66.06
1920	tfis15	burned upland	1.93	12.49	64.26
1919	tfis15	burned upland	1.74	13.22	107.10
1918	tfis15	burned upland	1.60	12.10	74.06
1917	tfis15	burned upland	1.53	12.43	94.32
1916	tfis15	burned upland	1.53	13.04	123.35
1915	tfis15	burned upland	1.64	14.88	126.84
1914	tfis15	burned upland	1.69	12.81	90.58
1913	tfis15	burned upland	1.88	14.35	95.10
1912	tfis15	burned upland	1.99	13.07	95.61
1911	tfis15	burned upland	2.10	12.88	84.64
1910	tfis15	burned upland	2.14	12.93	85.29
1909	tfis15	burned upland	2.35	12.64	77.94
1908	tfis15	burned upland	2.46	-9999.00	-9999.00
1907	tfis15	burned upland	2.72	-9999.00	-9999.00
1906	tfis15	burned upland	2.94	-9999.00	-9999.00
1905	tfis15	burned upland	2.98	-9999.00	-9999.00
1904	tfis15	burned upland	3.05	-9999.00	-9999.00
1903	tfis15	burned upland	3.02	-9999.00	-9999.00
1902	tfis15	burned upland	2.93	-9999.00	-9999.00
1901	tfis15	burned upland	2.73	-9999.00	-9999.00
1900	tfis15	burned upland	2.70	-9999.00	-9999.00
1899	tfis15	burned upland	2.51	-9999.00	-9999.00
1898	tfis15	burned upland	2.46	-9999.00	-9999.00
1897	tfis15	burned upland	2.20	-9999.00	-9999.00
1896	tfis15	burned upland	2.10	-9999.00	-9999.00
1895	tfis15	burned upland	1.87	-9999.00	-9999.00
1894	tfis15	burned upland	1.74	-9999.00	-9999.00
1893	tfis15	burned upland	1.56	-9999.00	-9999.00
1892	tfis15	burned upland	1.50	-9999.00	-9999.00
1891	tfis15	burned upland	1.41	-9999.00	-9999.00
1890	tfis15	burned upland	1.40	-9999.00	-9999.00
1889	tfis15	burned upland	1.40	-9999.00	-9999.00
1888	tfis15	burned upland	1.37	-9999.00	-9999.00
1887	tfis15	burned upland	1.38	-9999.00	-9999.00
1886	tfis15	burned upland	1.30	-9999.00	-9999.00
1885	tfis15	burned upland	1.30	-9999.00	-9999.00
1884	tfis15	burned upland	1.36	-9999.00	-9999.00
1883	tfis15	burned upland	1.27	-9999.00	-9999.00
1882	tfis15	burned upland	1.11	-9999.00	-9999.00
1881	tfis15	burned upland	1.13	-9999.00	-9999.00
1880	tfis15	burned upland	1.05	-9999.00	-9999.00
1879	tfis15	burned upland	0.87	-9999.00	-9999.00
1878	tfis15	burned upland	0.80	-9999.00	-9999.00
1877	tfis15	burned upland	0.75	-9999.00	-9999.00
1876	tfis15	burned upland	0.68	-9999.00	-9999.00
1875	tfis15	burned upland	0.62	-9999.00	-9999.00
1874	tfis15	burned upland	0.54	-9999.00	-9999.00
1873	tfis15	burned upland	0.43	-9999.00	-9999.00
1872	tfis15	burned upland	0.38	-9999.00	-9999.00
1871	tfis15	burned upland	0.31	-9999.00	-9999.00
1870	tfis15	burned upland	0.29	-9999.00	-9999.00
1869	tfis15	burned upland	0.27	-9999.00	-9999.00
1868	tfis15	burned upland	0.27	-9999.00	-9999.00
1867	tfis15	burned upland	0.23	-9999.00	-9999.00
1866	tfis15	burned upland	0.21	-9999.00	-9999.00
1865	tfis15	burned upland	0.19	-9999.00	-9999.00
1864	tfis15	burned upland	0.20	-9999.00	-9999.00
1863	tfis15	burned upland	0.20	-9999.00	-9999.00
1862	tfis15	burned upland	0.23	-9999.00	-9999.00
1861	tfis15	burned upland	0.25	-9999.00	-9999.00
1860	tfis15	burned upland	0.29	-9999.00	-9999.00
1859	tfis15	burned upland	0.36	-9999.00	-9999.00
1858	tfis15	burned upland	0.40	-9999.00	-9999.00
1857	tfis15	burned upland	0.43	-9999.00	-9999.00
1856	tfis15	burned upland	0.49	-9999.00	-9999.00
1855	tfis15	burned upland	0.55	-9999.00	-9999.00
1854	tfis15	burned upland	0.56	-9999.00	-9999.00
1853	tfis15	burned upland	0.61	-9999.00	-9999.00
1852	tfis15	burned upland	0.63	-9999.00	-9999.00
1851	tfis15	burned upland	0.64	-9999.00	-9999.00
1850	tfis15	burned upland	0.63	-9999.00	-9999.00
1849	tfis15	burned upland	0.62	-9999.00	-9999.00
1848	tfis15	burned upland	0.60	-9999.00	-9999.00
1847	tfis15	burned upland	0.58	-9999.00	-9999.00
1846	tfis15	burned upland	0.54	-9999.00	-9999.00
1845	tfis15	burned upland	0.52	-9999.00	-9999.00
1844	tfis15	burned upland	0.48	-9999.00	-9999.00
1843	tfis15	burned upland	0.45	-9999.00	-9999.00
1842	tfis15	burned upland	0.43	-9999.00	-9999.00
1841	tfis15	burned upland	0.46	-9999.00	-9999.00
1840	tfis15	burned upland	0.45	-9999.00	-9999.00
1839	tfis15	burned upland	0.48	-9999.00	-9999.00
1838	tfis15	burned upland	0.49	-9999.00	-9999.00
1837	tfis15	burned upland	0.51	-9999.00	-9999.00
1836	tfis15	burned upland	0.43	-9999.00	-9999.00
1835	tfis15	burned upland	0.44	-9999.00	-9999.00
1834	tfis15	burned upland	0.42	-9999.00	-9999.00
1833	tfis15	burned upland	0.39	-9999.00	-9999.00
1832	tfis15	burned upland	0.27	-9999.00	-9999.00
2000	tfis16	bog lowland	0.30	12.36	93.81
1999	tfis16	bog lowland	0.40	14.05	95.48
1998	tfis16	bog lowland	0.55	13.40	122.06
1997	tfis16	bog lowland	0.73	14.96	56.26
1996	tfis16	bog lowland	0.89	13.53	85.94
1995	tfis16	bog lowland	0.98	14.81	95.35
1994	tfis16	bog lowland	1.00	14.76	73.94
1993	tfis16	bog lowland	0.95	15.19	82.97
1992	tfis16	bog lowland	0.89	13.11	98.45
1991	tfis16	bog lowland	0.83	14.17	46.58
1990	tfis16	bog lowland	0.74	15.83	159.23
1989	tfis16	bog lowland	0.68	14.67	76.52
1988	tfis16	bog lowland	0.64	15.54	96.39
1987	tfis16	bog lowland	0.60	14.85	52.39
1986	tfis16	bog lowland	0.64	13.99	84.39
1985	tfis16	bog lowland	0.72	13.35	100.77
1984	tfis16	bog lowland	0.82	13.22	77.03
1983	tfis16	bog lowland	0.89	14.21	86.06
1982	tfis16	bog lowland	1.03	13.47	99.23
1981	tfis16	bog lowland	1.16	12.82	92.90
1980	tfis16	bog lowland	1.34	13.01	70.97
1979	tfis16	bog lowland	1.58	14.01	82.19
1978	tfis16	bog lowland	1.86	13.85	71.74
1977	tfis16	bog lowland	2.00	14.68	117.94
1976	tfis16	bog lowland	2.14	13.92	69.16
1975	tfis16	bog lowland	2.12	15.74	72.13
1974	tfis16	bog lowland	1.86	14.54	53.03
1973	tfis16	bog lowland	1.70	13.88	80.77
1972	tfis16	bog lowland	1.71	14.17	60.65
1971	tfis16	bog lowland	1.61	13.85	94.45
1970	tfis16	bog lowland	1.56	14.04	95.87
1969	tfis16	bog lowland	1.62	13.26	64.39
1968	tfis16	bog lowland	1.61	14.33	53.42
1967	tfis16	bog lowland	1.48	13.54	146.45
1966	tfis16	bog lowland	1.28	13.93	27.61
1965	tfis16	bog lowland	1.19	11.51	81.03
1964	tfis16	bog lowland	1.07	12.07	87.74
1963	tfis16	bog lowland	0.89	12.40	93.68
1962	tfis16	bog lowland	0.72	13.47	162.84
1961	tfis16	bog lowland	0.72	13.13	106.71
1960	tfis16	bog lowland	0.65	13.64	92.00
1959	tfis16	bog lowland	0.62	12.58	99.87
1958	tfis16	bog lowland	0.65	14.14	52.52
1957	tfis16	bog lowland	0.61	14.47	20.00
1956	tfis16	bog lowland	0.56	13.18	92.90
1955	tfis16	bog lowland	0.49	12.19	142.97
1954	tfis16	bog lowland	0.39	13.28	101.03
1953	tfis16	bog lowland	0.34	14.35	105.16
1952	tfis16	bog lowland	0.31	11.93	80.00
1951	tfis16	bog lowland	0.23	13.38	78.84
1950	tfis16	bog lowland	0.18	13.60	69.16
2000	tfis17	bog lowland	0.85	12.36	93.81
1999	tfis17	bog lowland	0.90	14.05	95.48
1998	tfis17	bog lowland	1.04	13.40	122.06
1997	tfis17	bog lowland	1.08	14.96	56.26
1996	tfis17	bog lowland	1.08	13.53	85.94
1995	tfis17	bog lowland	1.14	14.81	95.35
1994	tfis17	bog lowland	1.22	14.76	73.94
1993	tfis17	bog lowland	1.21	15.19	82.97
1992	tfis17	bog lowland	1.26	13.11	98.45
1991	tfis17	bog lowland	1.21	14.17	46.58
1990	tfis17	bog lowland	1.08	15.83	159.23
1989	tfis17	bog lowland	0.99	14.67	76.52
1988	tfis17	bog lowland	0.90	15.54	96.39
1987	tfis17	bog lowland	0.79	14.85	52.39
1986	tfis17	bog lowland	0.78	13.99	84.39
1985	tfis17	bog lowland	0.76	13.35	100.77
1984	tfis17	bog lowland	0.75	13.22	77.03
1983	tfis17	bog lowland	0.76	14.21	86.06
1982	tfis17	bog lowland	0.83	13.47	99.23
1981	tfis17	bog lowland	0.89	12.82	92.90
1980	tfis17	bog lowland	0.97	13.01	70.97
1979	tfis17	bog lowland	1.01	14.01	82.19
1978	tfis17	bog lowland	1.07	13.85	71.74
1977	tfis17	bog lowland	1.06	14.68	117.94
1976	tfis17	bog lowland	1.03	13.92	69.16
1975	tfis17	bog lowland	1.04	15.74	72.13
1974	tfis17	bog lowland	1.09	14.54	53.03
1973	tfis17	bog lowland	1.09	13.88	80.77
1972	tfis17	bog lowland	1.18	14.17	60.65
1971	tfis17	bog lowland	1.15	13.85	94.45
1970	tfis17	bog lowland	1.10	14.04	95.87
1969	tfis17	bog lowland	1.04	13.26	64.39
1968	tfis17	bog lowland	0.92	14.33	53.42
1967	tfis17	bog lowland	0.87	13.54	146.45
1966	tfis17	bog lowland	0.89	13.93	27.61
1965	tfis17	bog lowland	0.92	11.51	81.03
1964	tfis17	bog lowland	0.94	12.07	87.74
1963	tfis17	bog lowland	0.98	12.40	93.68
1962	tfis17	bog lowland	0.95	13.47	162.84
1961	tfis17	bog lowland	0.91	13.13	106.71
1960	tfis17	bog lowland	0.92	13.64	92.00
1959	tfis17	bog lowland	0.94	12.58	99.87
1958	tfis17	bog lowland	1.02	14.14	52.52
1957	tfis17	bog lowland	1.08	14.47	20.00
1956	tfis17	bog lowland	1.34	13.18	92.90
1955	tfis17	bog lowland	1.50	12.19	142.97
1954	tfis17	bog lowland	1.55	13.28	101.03
1953	tfis17	bog lowland	1.60	14.35	105.16
1952	tfis17	bog lowland	1.51	11.93	80.00
1951	tfis17	bog lowland	1.23	13.38	78.84
1950	tfis17	bog lowland	1.03	13.60	69.16
1949	tfis17	bog lowland	0.92	11.51	113.81
1948	tfis17	bog lowland	0.76	11.81	148.52
1947	tfis17	bog lowland	0.77	12.43	68.26
1946	tfis17	bog lowland	0.82	13.29	86.71
1945	tfis17	bog lowland	0.86	11.22	141.16
1944	tfis17	bog lowland	0.83	12.90	97.81
1943	tfis17	bog lowland	0.88	12.56	72.26
1942	tfis17	bog lowland	0.96	14.31	144.77
1941	tfis17	bog lowland	1.06	13.65	76.90
1940	tfis17	bog lowland	1.08	14.03	95.10
1939	tfis17	bog lowland	1.07	12.82	101.29
1938	tfis17	bog lowland	0.97	12.61	84.13
1937	tfis17	bog lowland	0.86	12.44	85.29
1936	tfis17	bog lowland	0.71	14.08	69.55
1935	tfis17	bog lowland	0.58	11.36	91.74
1934	tfis17	bog lowland	0.58	12.14	88.90
1933	tfis17	bog lowland	0.71	11.68	81.94
2000	tfis18	bog lowland	0.99	12.36	93.81
1999	tfis18	bog lowland	1.29	14.05	95.48
1998	tfis18	bog lowland	1.56	13.40	122.06
1997	tfis18	bog lowland	1.58	14.96	56.26
1996	tfis18	bog lowland	1.60	13.53	85.94
1995	tfis18	bog lowland	1.38	14.81	95.35
1994	tfis18	bog lowland	0.98	14.76	73.94
1993	tfis18	bog lowland	0.71	15.19	82.97
1992	tfis18	bog lowland	0.77	13.11	98.45
1991	tfis18	bog lowland	0.85	14.17	46.58
1990	tfis18	bog lowland	0.87	15.83	159.23
1989	tfis18	bog lowland	0.94	14.67	76.52
1988	tfis18	bog lowland	0.94	15.54	96.39
1987	tfis18	bog lowland	0.88	14.85	52.39
1986	tfis18	bog lowland	0.73	13.99	84.39
1985	tfis18	bog lowland	0.66	13.35	100.77
1984	tfis18	bog lowland	0.67	13.22	77.03
1983	tfis18	bog lowland	0.69	14.21	86.06
1982	tfis18	bog lowland	0.83	13.47	99.23
1981	tfis18	bog lowland	0.93	12.82	92.90
1980	tfis18	bog lowland	0.96	13.01	70.97
1979	tfis18	bog lowland	0.94	14.01	82.19
1978	tfis18	bog lowland	1.02	13.85	71.74
1977	tfis18	bog lowland	1.10	14.68	117.94
1976	tfis18	bog lowland	1.20	13.92	69.16
1975	tfis18	bog lowland	1.24	15.74	72.13
1974	tfis18	bog lowland	1.23	14.54	53.03
1973	tfis18	bog lowland	1.16	13.88	80.77
1972	tfis18	bog lowland	0.96	14.17	60.65
1971	tfis18	bog lowland	0.76	13.85	94.45
1970	tfis18	bog lowland	0.69	14.04	95.87
1969	tfis18	bog lowland	0.70	13.26	64.39
1968	tfis18	bog lowland	0.74	14.33	53.42
1967	tfis18	bog lowland	0.67	13.54	146.45
1966	tfis18	bog lowland	0.68	13.93	27.61
1965	tfis18	bog lowland	0.69	11.51	81.03
1964	tfis18	bog lowland	0.68	12.07	87.74
1963	tfis18	bog lowland	0.70	12.40	93.68
1962	tfis18	bog lowland	0.85	13.47	162.84
1961	tfis18	bog lowland	1.06	13.13	106.71
1960	tfis18	bog lowland	1.29	13.64	92.00
1959	tfis18	bog lowland	1.56	12.58	99.87
1958	tfis18	bog lowland	1.73	14.14	52.52
1957	tfis18	bog lowland	1.80	14.47	20.00
1956	tfis18	bog lowland	1.81	13.18	92.90
1955	tfis18	bog lowland	1.66	12.19	142.97
1954	tfis18	bog lowland	1.41	13.28	101.03
1953	tfis18	bog lowland	1.22	14.35	105.16
1952	tfis18	bog lowland	1.05	11.93	80.00
1951	tfis18	bog lowland	0.84	13.38	78.84
1950	tfis18	bog lowland	0.79	13.60	69.16
1949	tfis18	bog lowland	0.73	11.51	113.81
1948	tfis18	bog lowland	0.63	11.81	148.52
1947	tfis18	bog lowland	0.58	12.43	68.26
1946	tfis18	bog lowland	0.54	13.29	86.71
1945	tfis18	bog lowland	0.42	11.22	141.16
1944	tfis18	bog lowland	0.41	12.90	97.81
2000	tfis19	bog lowland	0.61	12.36	93.81
1999	tfis19	bog lowland	0.64	14.05	95.48
1998	tfis19	bog lowland	0.77	13.40	122.06
1997	tfis19	bog lowland	1.06	14.96	56.26
1996	tfis19	bog lowland	1.20	13.53	85.94
1995	tfis19	bog lowland	1.27	14.81	95.35
1994	tfis19	bog lowland	1.41	14.76	73.94
1993	tfis19	bog lowland	1.45	15.19	82.97
1992	tfis19	bog lowland	1.24	13.11	98.45
1991	tfis19	bog lowland	1.13	14.17	46.58
1990	tfis19	bog lowland	0.91	15.83	159.23
1989	tfis19	bog lowland	0.68	14.67	76.52
1988	tfis19	bog lowland	0.55	15.54	96.39
1987	tfis19	bog lowland	0.50	14.85	52.39
1986	tfis19	bog lowland	0.47	13.99	84.39
1985	tfis19	bog lowland	0.52	13.35	100.77
1984	tfis19	bog lowland	0.58	13.22	77.03
1983	tfis19	bog lowland	0.79	14.21	86.06
1982	tfis19	bog lowland	0.86	13.47	99.23
1981	tfis19	bog lowland	0.97	12.82	92.90
1980	tfis19	bog lowland	1.04	13.01	70.97
1979	tfis19	bog lowland	1.21	14.01	82.19
1978	tfis19	bog lowland	1.24	13.85	71.74
1977	tfis19	bog lowland	1.59	14.68	117.94
1976	tfis19	bog lowland	1.66	13.92	69.16
1975	tfis19	bog lowland	1.82	15.74	72.13
1974	tfis19	bog lowland	1.79	14.54	53.03
1973	tfis19	bog lowland	1.67	13.88	80.77
1972	tfis19	bog lowland	1.33	14.17	60.65
1971	tfis19	bog lowland	1.25	13.85	94.45
1970	tfis19	bog lowland	1.23	14.04	95.87
1969	tfis19	bog lowland	1.22	13.26	64.39
1968	tfis19	bog lowland	1.23	14.33	53.42
1967	tfis19	bog lowland	1.32	13.54	146.45
1966	tfis19	bog lowland	1.25	13.93	27.61
1965	tfis19	bog lowland	1.08	11.51	81.03
1964	tfis19	bog lowland	1.02	12.07	87.74
1963	tfis19	bog lowland	0.99	12.40	93.68
1962	tfis19	bog lowland	0.89	13.47	162.84
1961	tfis19	bog lowland	0.84	13.13	106.71
1960	tfis19	bog lowland	0.80	13.64	92.00
1959	tfis19	bog lowland	0.73	12.58	99.87
1958	tfis19	bog lowland	0.65	14.14	52.52
1957	tfis19	bog lowland	0.62	14.47	20.00
1956	tfis19	bog lowland	0.57	13.18	92.90
1955	tfis19	bog lowland	0.56	12.19	142.97
1954	tfis19	bog lowland	0.52	13.28	101.03
1953	tfis19	bog lowland	0.52	14.35	105.16
1952	tfis19	bog lowland	0.34	11.93	80.00
2000	tfis20	bog lowland	0.61	12.36	93.81
1999	tfis20	bog lowland	0.84	14.05	95.48
1998	tfis20	bog lowland	0.98	13.40	122.06
1997	tfis20	bog lowland	1.13	14.96	56.26
1996	tfis20	bog lowland	1.68	13.53	85.94
1995	tfis20	bog lowland	2.08	14.81	95.35
1994	tfis20	bog lowland	2.38	14.76	73.94
1993	tfis20	bog lowland	2.56	15.19	82.97
1992	tfis20	bog lowland	2.53	13.11	98.45
1991	tfis20	bog lowland	2.16	14.17	46.58
1990	tfis20	bog lowland	1.95	15.83	159.23
1989	tfis20	bog lowland	1.39	14.67	76.52
1988	tfis20	bog lowland	0.94	15.54	96.39
1987	tfis20	bog lowland	0.67	14.85	52.39
1986	tfis20	bog lowland	0.44	13.99	84.39
1985	tfis20	bog lowland	0.22	13.35	100.77
1984	tfis20	bog lowland	0.38	13.22	77.03
1983	tfis20	bog lowland	0.74	14.21	86.06
1982	tfis20	bog lowland	0.93	13.47	99.23
1981	tfis20	bog lowland	1.00	12.82	92.90
1980	tfis20	bog lowland	1.03	13.01	70.97
1979	tfis20	bog lowland	0.91	14.01	82.19
1978	tfis20	bog lowland	0.81	13.85	71.74
1977	tfis20	bog lowland	1.09	14.68	117.94
1976	tfis20	bog lowland	1.40	13.92	69.16
1975	tfis20	bog lowland	1.65	15.74	72.13
1974	tfis20	bog lowland	1.66	14.54	53.03
1973	tfis20	bog lowland	1.39	13.88	80.77
1972	tfis20	bog lowland	0.94	14.17	60.65
1971	tfis20	bog lowland	0.69	13.85	94.45
1970	tfis20	bog lowland	0.64	14.04	95.87
1969	tfis20	bog lowland	0.77	13.26	64.39
1968	tfis20	bog lowland	1.03	14.33	53.42
1967	tfis20	bog lowland	1.14	13.54	146.45
1966	tfis20	bog lowland	1.05	13.93	27.61
1965	tfis20	bog lowland	0.86	11.51	81.03
1964	tfis20	bog lowland	0.88	12.07	87.74
1963	tfis20	bog lowland	0.70	12.40	93.68
1962	tfis20	bog lowland	0.56	13.47	162.84
1961	tfis20	bog lowland	0.53	13.13	106.71
1960	tfis20	bog lowland	0.47	13.64	92.00
1959	tfis20	bog lowland	0.36	12.58	99.87
1958	tfis20	bog lowland	0.38	14.14	52.52
1957	tfis20	bog lowland	0.49	14.47	20.00
1956	tfis20	bog lowland	0.53	13.18	92.90
1955	tfis20	bog lowland	0.53	12.19	142.97
1954	tfis20	bog lowland	0.45	13.28	101.03
1953	tfis20	bog lowland	0.57	14.35	105.16
1952	tfis20	bog lowland	0.62	11.93	80.00
1951	tfis20	bog lowland	0.78	13.38	78.84
1950	tfis20	bog lowland	0.93	13.60	69.16
1949	tfis20	bog lowland	1.13	11.51	113.81
1948	tfis20	bog lowland	1.08	11.81	148.52
1947	tfis20	bog lowland	1.22	12.43	68.26
